,id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,house_rules,license
22322,13329777,Spacious Financial District Loft - Whole Apartment,68985733812,unconfirmed,Spencer,Manhattan,Financial District,40.70648,-74.01234,United States,US,False,strict,Entire home/apt,2011.0,"$1,012 ",$202 ,12.0,4.0,11/19/2017,0.16,3.0,1.0,0.0,,
4268,3358552,Beautiful Studio Suite! Upper East,52994373840,unconfirmed,AFI Apartments,Manhattan,Upper East Side,40.77125,-73.95735,United States,US,True,flexible,Entire home/apt,2022.0,"$1,073 ",$215 ,30.0,5.0,3/23/2019,0.09,1.0,29.0,284.0,,
32210,18790919,Charming Private Room 5 min to the Ocean,32682948331,unconfirmed,Margarita,Staten Island,Great Kills,40.54896,-74.14246,United States,US,True,flexible,Private room,2006.0,$623 ,$125 ,2.0,9.0,7/1/2019,0.73,2.0,3.0,89.0,,
61709,35083217,30+ Days In Harlem near Columbia Univ.,27013453155,unconfirmed,Barbi,Manhattan,Harlem,40.80338,-73.94978,United States,US,True,strict,Entire home/apt,2008.0,$909 ,$182 ,30.0,1.0,12/5/2021,0.33,5.0,2.0,180.0,,
90593,51035850,Beautiful and Quiet Morningside Heights 1BR,63002986399,unconfirmed,Cathy,Manhattan,Morningside Heights,40.80826,-73.96499,United States,US,True,flexible,Entire home/apt,2007.0,$573 ,$115 ,2.0,1.0,1/2/2017,0.03,3.0,,0.0,No pets No alcohol,
42474,24459726,A Sweet Suite in a Brooklyn Mansion,29130868622,verified,Malika,Brooklyn,Crown Heights,40.6758,-73.94146,United States,US,False,flexible,Entire home/apt,2012.0,$205 ,$41 ,3.0,6.0,5/12/2019,2.17,4.0,4.0,246.0,,
98252,55265916,Your Home Next to the Empire State Building,12887961454,verified,Tassie,Manhattan,Murray Hill,40.74628,-73.97899,United States,US,True,flexible,Entire home/apt,2005.0,$387 ,$77 ,2.0,11.0,6/30/2019,1.07,3.0,1.0,27.0,,
97620,54916862,Staten Island Apartment,25855724985,unconfirmed,Jonathan,Staten Island,Tompkinsville,40.63461,-74.08937,United States,US,True,strict,Private room,2015.0,$67 ,$13 ,3.0,6.0,10/24/2018,0.55,2.0,3.0,154.0,"Please remember that this is a residential building. The building rules, apartment occupancy restrictions and the year-round tenants must be respected.",
86553,48804558,Super Vibey Hang,70130344722,unconfirmed,Brendan,Brooklyn,Fort Greene,40.68877,-73.97795,United States,US,True,moderate,Entire home/apt,2004.0,$732 ,$146 ,2.0,1.0,6/18/2016,0.03,2.0,1.0,81.0,,
93519,52651880,Double Studio beside Empire State #6,28794061486,verified,Alberto,Manhattan,Midtown,40.74776,-73.98668,United States,US,True,moderate,Entire home/apt,2010.0,$870 ,$174 ,1.0,0.0,,,5.0,17.0,208.0,,
45390,26070233,Mott Haven Dorm AA,27764402495,verified,Orit,Bronx,Port Morris,40.80852,-73.9306,United States,US,False,strict,Shared room,2015.0,"$1,031 ",$206 ,1.0,5.0,6/17/2019,2.94,5.0,8.0,60.0,,
32539,18972626,Best in Greenwood. 1min walk & 15min to Manhttn,70967808968,verified,Aprilene,Brooklyn,Sunset Park,40.65676,-74.00224,United States,US,False,moderate,Private room,2011.0,$691 ,$138 ,2.0,8.0,3/26/2019,0.63,5.0,2.0,90.0,"We want our guests to be comfortable and enjoy not just our house but our city.  To those ends we welcome inquiries about what to do and where to go.  Our guests should feel free to use the kitchen and living room and not feel confined to ""their room"". Store your food in the fridge, eat your meal on the terrace, read a book on the couch or hammock.  We request only your general consideration of living with others.  Our one hard and fast rule is: No smoking on the property. ",
18395,11160895,Sunny Room in Greenpoint.,79960263355,unconfirmed,Sally,Brooklyn,Greenpoint,40.72408,-73.93952,United States,US,False,moderate,Private room,2011.0,$805 ,$161 ,25.0,0.0,,,2.0,1.0,5.0,No smoking please.,
90360,50907164,"Cozy Sunny Room in New Apartment by G, J, M trains",24846874833,verified,Andrei,Brooklyn,Bedford-Stuyvesant,40.69442,-73.94362,United States,US,False,strict,Private room,2008.0,$871 ,$174 ,7.0,0.0,,,1.0,2.0,0.0,"Share our house as a guest, don't worry about cost of snacks or an occasional beer.  No smoking and no pets. Please consult first if travelling with small children.",
32887,19164826,Sunny & Cheery Bronx Home - with Chickens!,22101472477,unconfirmed,Lily,Bronx,Mott Haven,40.8084,-73.92037,United States,US,True,flexible,Entire home/apt,2020.0,$102 ,$20 ,2.0,36.0,6/29/2019,3.12,2.0,1.0,114.0,No smoking No pets  No events or parties Check out by 11am  Check in after 3pm $50 fee for lost keys  Please stay out of the nursery unless you have a baby sleeping in there We can be flexible with check in and check out times depending on the next renter's right to a 3pm check in time.,
69336,39295609,Huge sunny artist loft +roof garden,1633311252,unconfirmed,Ute,Brooklyn,Gowanus,40.67862,-73.98561,United States,US,False,flexible,Entire home/apt,2006.0,$879 ,$176 ,1.0,66.0,5/19/2019,0.76,4.0,2.0,363.0,,
73108,41378884,"Spacious 1 bedroom apt in Chinatown, NYC",36578152765,verified,Conor,Manhattan,Chinatown,40.71483,-73.99287,United States,US,False,moderate,Entire home/apt,2015.0,$380 ,$76 ,7.0,9.0,5/10/2019,0.53,2.0,1.0,4.0,,
48708,27902764,Room W/private bathroom.3 min to park and subway,82489285662,unconfirmed,Kateryna,Brooklyn,Prospect-Lefferts Gardens,40.66289,-73.96165,United States,US,False,moderate,Private room,2022.0,$137 ,$27 ,1.0,0.0,,,4.0,6.0,,"- No smoking.  - Maximum of 2 people  - Sorry, no children. (I love kids, but this is a very quiet building. It's all young professionals.  - Please be quiet and respectful of others in the building (no loud music/tv,   - Please dispose of baby wipes and/or tampons in the waste basket, not in the toilet. (the pipes are old and clog easily – last time baby wipes had to be removed from the pipes, the plumbing bill was $350!).",
5365,3964426,Large 1-Bedroom by Subway with Elevator and Charm!,76973555392,unconfirmed,Irena,Manhattan,East Village,40.72471,-73.98673,United States,US,True,strict,Entire home/apt,2022.0,$189 ,$38 ,4.0,28.0,6/9/2019,0.49,4.0,1.0,258.0,,
49584,28386579,Style In The City: Apartment by TIMES SQUARE,38176366957,unconfirmed,Sam,Manhattan,Hell's Kitchen,40.76334,-73.988,United States,US,True,strict,Private room,2022.0,$432 ,$86 ,2.0,112.0,3/3/2022,2.2,2.0,3.0,81.0,,
20601,12379268,Cozy Harlem Jewel,91789960934,verified,Liliana,Manhattan,Harlem,40.8228,-73.93956,United States,US,False,flexible,Private room,2011.0,"$1,153 ",$231 ,2.0,119.0,6/24/2019,3.82,1.0,1.0,198.0,We love our home and enjoy sharing it with others. We hope you'll treat it as with as much care as we do. Our neighbors are friendly and quiet. We hope you'll fit right in.,
11912,7580334,2-bedroom in the heart of the EV!,20320488213,unconfirmed,Mario,Manhattan,East Village,40.72765,-73.98199,United States,US,False,strict,Entire home/apt,2020.0,$311 ,$62 ,2.0,1.0,11/28/2015,0.02,5.0,1.0,137.0,please be quiet and respectful of the other renters,
45768,26279002,Cozy & Convenient 1bed/bath in Crown Heights BK,30914835676,unconfirmed,Cyrus,Brooklyn,Crown Heights,40.67068,-73.95464,United States,US,False,moderate,Entire home/apt,2011.0,$277 ,$55 ,1.0,0.0,,,2.0,1.0,66.0,,
30422,17803407,"Location, Luxury, and Ease: Midtown Manhattan Gem",78991533669,verified,Joseph,Manhattan,Hell's Kitchen,40.75689,-73.997,United States,US,False,strict,Entire home/apt,2019.0,$180 ,$36 ,4.0,2.0,10/1/2018,0.14,4.0,1.0,0.0,Just ask you to respect everything in apartment.  No parties please. Thank you,
72937,41284441,SMALL AND COZY PARISIAN STYLE APT IN EAST HARLEM,15604741598,verified,Caroline,Manhattan,East Harlem,40.79802,-73.94003,United States,US,False,flexible,Private room,2014.0,"$1,138 ",$228 ,4.0,162.0,6/23/2019,3.55,5.0,1.0,60.0,,
79652,44993136,Beautiful 2-bedroom in Williamsburg,8836698377,verified,Alexandra,Brooklyn,Williamsburg,40.70743,-73.96625,United States,US,True,strict,Entire home/apt,2008.0,$444 ,$89 ,1.0,26.0,7/6/2019,1.01,1.0,2.0,192.0,"No smoking in the apartment, in the foyer or outside the building at any time. No pets. No parties.",
39866,23019328,"Walk toTimes Square,Central Park,Museums, Broadway",21773238878,unconfirmed,Tiba,Manhattan,Hell's Kitchen,40.76356,-73.98956,United States,US,False,moderate,Entire home/apt,2009.0,$224 ,$45 ,1.0,17.0,6/23/2019,4.21,4.0,5.0,282.0,#NAME?,
37561,21746276,Ultra Modern Two Bedroom with Amazing Views,46977156706,verified,Jason,Manhattan,Murray Hill,40.74441,-73.97328,United States,US,True,flexible,Entire home/apt,2007.0,"$1,090 ",$218 ,5.0,0.0,,,2.0,1.0,51.0,,
90561,51018176,One bedroom by Lincoln Center,2153592647,unconfirmed,Christopher,Manhattan,Upper West Side,40.77406,-73.98252,United States,US,True,moderate,Entire home/apt,2021.0,$171 ,$34 ,3.0,2.0,4/24/2017,0.07,1.0,2.0,0.0,"We have ample off-street parking but if you have a car let us know and we will be in touch with you about parking. Please be careful not to drive or walk in the driveway for 233 Savin Hill Avenue. Check in time is 2 PM, check out time is 10 AM.  Guests who arrive early can drop off their luggage after 10 AM. We are unable to accommodate arrivals earlier than 10 AM.  Guests who need to stay after the check out time are welcome to use the common area on the first floor for luggage storage. NO SMOKING in the house or anywhere on the property. No Pets.",
19269,11643605,NYC Firehouse-Greenpoint BRKLYN,45845769070,unconfirmed,Elizabeth,Brooklyn,Greenpoint,40.73218,-73.95647,United States,US,True,strict,Entire home/apt,2020.0,$109 ,$22 ,3.0,0.0,,,5.0,1.0,344.0,No pets No parties. No smoking,
12947,8151964,Gorgeous apartment in West Village,66905873915,unconfirmed,Ther,Manhattan,West Village,40.73113,-74.00314,United States,US,True,strict,Entire home/apt,2013.0,$387 ,$77 ,4.0,1.0,7/6/2016,0.03,3.0,1.0,185.0,,
53674,30645486,2 Bedroom Lower East Side Apartment,71540565700,verified,Katie,Manhattan,Lower East Side,40.72051,-73.99054,United States,US,True,flexible,Entire home/apt,2008.0,"$1,007 ",$201 ,3.0,56.0,2/16/2022,3.82,5.0,1.0,64.0,,
22117,13216555,Cute bedroom available near subway in Astoria!,10716790299,verified,Kerstin,Queens,Astoria,40.76529,-73.92304,United States,US,True,strict,Private room,2005.0,"$1,189 ",$238 ,2.0,14.0,5/17/2018,0.55,5.0,1.0,0.0,No Smoking. Cats Allowed With Fee.,
42589,24523241,Five minutes from Central Manhattan,77237107625,verified,Lee,Manhattan,Roosevelt Island,40.76213,-73.94893,United States,US,True,moderate,Entire home/apt,2019.0,$620 ,$124 ,4.0,9.0,6/18/2019,3.38,4.0,1.0,33.0,"Check in/out: We typically follow the standard check in and out times (4 p.m., 11 a.m. respectively) however I'm extremely flexible and can accommodate your needs as long as it doesn't impact another renter if you have special check-in or out times.  There is a keypad lock and each renter will receive their own passcode so you can come and go as you please and not worry about keys or timing.   Pets:  I don't have any pets living at the home but I am a dog lover and know it can be difficult to find accommodations for your 4-legged family members.  Pets are welcome but please be respectful of the furniture and floors and clean up after them. Smoking:  There is no cigarette smoking in the home or on the property as there have been concerns with cigarette butts creating a fire hazard on the deck.  Please contact me if you need to discuss for your specific situation. Lock doors/windows at all times:  While the area is safe, it is still an urban environment and doors/windows need to be locke",
13528,8472850,Large Private Bedroom on the River,12446065272,verified,Molly,Manhattan,Washington Heights,40.83871,-73.9468,United States,US,False,moderate,Private room,2004.0,$942 ,$188 ,3.0,49.0,6/22/2019,1.28,1.0,1.0,107.0,The Perfect home stay for clean and responsible person. Home is keep neat and clean at all times. Guest wipe up after themselves after using the kitchen. There is no smoking in home and no pets allowed in home. No overnight guest to keep the stay peaceful and quiet.,
48564,27823233,"Stunning Chelsea 1BR w/ Gym, W/D, Doorman, Sundeck, Cinema, by Blueground",19919713209,verified,Blueground,Manhattan,Midtown,40.74444,-73.99015,United States,US,True,flexible,Entire home/apt,2007.0,$71 ,$14 ,30.0,0.0,,,3.0,232.0,324.0,,
42858,24671809,StudioAptWithSeparateKitchen-20min from Manhattan,46568203475,verified,Nobin,Queens,Sunnyside,40.74636,-73.91748,United States,US,True,moderate,Entire home/apt,2008.0,"$1,009 ",$202 ,,5.0,6/19/2019,3.19,3.0,1.0,0.0,,
10485,6792202,Beautiful Brownstone near the Park,86129743782,verified,Jason,Manhattan,Upper West Side,40.79791,-73.96951,United States,US,True,flexible,Entire home/apt,2012.0,$846 ,$169 ,3.0,4.0,9/21/2015,0.09,3.0,1.0,97.0,"House Rules 1. Check-in is 4 pm local time. If the unit is ready earlier, we’ll let you know. Check-out is normally 11 am local time, but we’d be happy to extend it as long as we don’t have a cleaning scheduled. Just let us know.  2. All bookings require a security deposit of at least $300, which will be refunded within 7 days of your check-out. 3. For security measures we require all guests to provide proof of identification through ID verification on our own website. In order to check in we'll need a photo of your ID.  4. Our cancellation policy is as shown on our ad and defined by the site you are booking through.  5. Don’t let $300 go up in smoke. There's no smoking allowed in any Flatbook and a $300 fine for breaking this rule.  6. Unfortunately we don’t allow pets in any of our apartments. 7. Unless you’re staying in one of our specialty apartments, we don’t allow parties or excessive noise. 8. If we find the place very messy, we have to charge an extra $40 for every extra hour o",
18295,11105665,"Private room Bushwick, BK!",83552223527,unconfirmed,Natalie,Brooklyn,Bushwick,40.68876,-73.90578,United States,US,False,moderate,Private room,2005.0,"$1,092 ",$218 ,1.0,24.0,10/29/2018,0.69,3.0,2.0,250.0,"No smoking  Not suitable for pets  No parties or events  Check-in time is after 2pm Quiet hours: 10pm-8am - Please refrain from loud noise after 10pm as this is a family neighborhood. Music and voices from the upper deck carries down the block. We enforce a loss of deposit if there are noise complaints. - No parties. Although we want your group to have tons of fun, additional unnamed guests at a party will result in a 100% loss of deposit. AGREEMENT This Lease Agreement (the “Agreement"") is made by and between Airbnb host (“Homeowner"") and (“Guest"") as of the date last set forth on the agreement made via the (website hidden). For good and valuable consideration, the sufficiency of which is acknowledged, the parties hereby agree as follows: 1. Property. The property address will be disclosed at time of booking. 2. Rental Party. The rental party shall consist of Adults and Children (under age 18). The maximum number of guests is limited to 4 persons. Additional guests staying the night b",
96951,54547373,Sunlit Duplex LOFT 1.5BR WATERFRNT/ POOL/ GYM (5O),40984945239,unconfirmed,Mayan,Brooklyn,Williamsburg,40.71771,-73.96431,United States,US,False,flexible,Entire home/apt,2022.0,$860 ,$172 ,30.0,2.0,6/16/2019,0.32,2.0,6.0,304.0,,
50524,28905741,PRIVATE ROOM READY FOR YOU,52594015024,unconfirmed,Brenda,Queens,Long Island City,40.75966,-73.93269,United States,US,True,moderate,Private room,2022.0,$622 ,$124 ,1.0,19.0,2/28/2022,2.66,3.0,28.0,152.0,,
94895,53411845,Parlor Suite Midtown Manhattan,75854785056,unconfirmed,Deborah,Manhattan,Theater District,40.76093,-73.98192,United States,US,True,flexible,Entire home/apt,2013.0,$600 ,$120 ,20.0,1.0,5/29/2018,0.07,4.0,4.0,0.0,Please leave the room as it was when you first came.,
17818,10842217,"Huge, private bedroom with bathroom",90396735474,verified,Claudia,Queens,Maspeth,40.73425,-73.89553,United States,US,False,flexible,Private room,2018.0,$489 ,$98 ,2.0,24.0,8/21/2018,0.69,2.0,1.0,281.0,No pets and No smoking. Guests need to be respectful and considerate of others.,
39449,22789019,Dollar,70232078102,unconfirmed,Freddy,Brooklyn,Fort Greene,40.69564,-73.97287,United States,US,True,flexible,Private room,2005.0,$903 ,$181 ,1.0,7.0,6/2/2019,1.84,4.0,2.0,364.0,"The room is strictly non-smoking, however, you can smoke in the back porch. No drugs! No visitors without previous authorization. We do prefer adults since the house is not ""child proof"" and, we are full time workers. Babies OK!  Please, keep in mind that, this is not a hotel.  The room should be left in good condition and picked up when you leave.  Longer term renters use of kitchen and other facilities can be arranged.",
48153,27596238,"THE BEST 1 bedroom apt in Astoria, seriously, best",83784369034,unconfirmed,Kevin,Queens,Astoria,40.76769,-73.91994,United States,US,True,moderate,Entire home/apt,2017.0,$851 ,$170 ,2.0,0.0,,,4.0,1.0,94.0,Check-in is at 4pm or after. Checkout is at 1030am unless otherwise specified. Please be respectful and honest because we share the same space. We reserve the right to charge for parking upon arrival and to reject your reservation request if we do not feel comfortable with your request. Thank you!,
35713,20725626,20 steps to subway!!,6041417324,verified,Vik,Queens,Long Island City,40.75655,-73.93001,United States,US,True,moderate,Entire home/apt,2014.0,"$1,144 ",$229 ,2.0,9.0,6/22/2019,0.93,2.0,5.0,163.0,"Non smoker only Guest may not bring car to the area Perfumes, sprays, candles, not allowed Cat in the house Mailing address may not be given to anyone without written permission If we get correspondence on your name, you will be charged $200  Separate recycle from trash (I can help, just ask) Black bag for recycling is in your room, put all in one bag Guests are not allowed The house is quiet as others are studying Please pick up after yourself as a courtesy to others Please don't leave your clothes or towel in the bathroom Any shampoo without name can be used (they are inside the shower) Please take shower at night or afternoon to avoid morning traffic. Use reusable bag (provided)  Please don't take disposable plastic bags from stores Food left over must be placed inside kitchen sink for automatic disposal",
67176,38102641,E&Es B&B Spotless 2BD APT wAC 6min walk Subway,30674071473,verified,Evan & Erika,Brooklyn,Bedford-Stuyvesant,40.68651,-73.92544,United States,US,False,flexible,Entire home/apt,2015.0,$848 ,$170 ,30.0,176.0,7/5/2020,3.02,3.0,1.0,0.0,,
59254,33727320,Studio Apartment in Midtown East,66808614468,unconfirmed,Raphael,Manhattan,Midtown,40.75732,-73.96639,United States,US,False,strict,Entire home/apt,2007.0,$705 ,$141 ,5.0,1.0,1/2/2022,0.48,5.0,1.0,358.0,,
2502,2383191,Your private bedroom in the Upper East Side!,58835593462,verified,Sullivan,Manhattan,East Harlem,40.78747,-73.95276,United States,US,False,flexible,Private room,2009.0,$304 ,$61 ,3.0,18.0,5/4/2019,0.25,5.0,1.0,396.0,I ask to be respectful to neighbors.  To leave everything as it was when arrived.  Make yourself at home.,
92252,51952116,Big Bright Room in East Williamsburg,27585838858,verified,Giovanni,Brooklyn,Williamsburg,40.71881,-73.93965,United States,US,False,flexible,Private room,2021.0,$150 ,$30 ,5.0,2.0,10/29/2018,0.23,2.0,1.0,0.0,,
84361,47593916,Designed By Stark!Basket Ball Gym 5150,93377091262,unconfirmed,Jeremy & Laura,Manhattan,Financial District,40.70563,-74.00658,United States,US,False,flexible,Entire home/apt,2012.0,$642 ,$128 ,30.0,3.0,4/22/2017,0.1,4.0,96.0,18.0,"Enjoy your stay, and please take care of the apartment like it's your own home. No parties and no smoking please.",
40078,23136415,Beauty In The East-Mins to Subway/JFK/LGA/Manhatta,71548117362,verified,Victoria,Brooklyn,East New York,40.65905,-73.8976,United States,US,True,strict,Entire home/apt,2020.0,$245 ,$49 ,1.0,13.0,7/3/2019,7.36,3.0,1.0,89.0,"House Rules Welcome to Boston-Furnished-Rentals. We respectfully request that you take care of all furniture, appliances, and all other belongings in our apartments. Pets are allowed only with prior approval. Please turn off all lights and appliances including the A/C and heat when you leave. We also ask that you follow our trash rules while staying with us. The efforts of all our guests allow us to pass on savings for everyone. We look forward to your visit and thanks for choosing Boston-Furnished-Rentals while enjoying Boston.",
72825,41222584,Architect's Room in Large apt w/ rooftop deck,53921313961,unconfirmed,Kevin,Brooklyn,Bedford-Stuyvesant,40.69504,-73.94807,United States,US,False,moderate,Private room,2021.0,$833 ,$167 ,1.0,14.0,8/31/2017,0.3,1.0,1.0,0.0,,
39878,23025955,Magnificent Industrial Chic 3 Bedroom Loft,50436457494,unconfirmed,Beny & Maria,Brooklyn,Williamsburg,40.71733,-73.96145,United States,US,False,flexible,Entire home/apt,2015.0,$841 ,$168 ,1.0,12.0,7/1/2019,2.79,3.0,1.0,334.0,"* Check out: 10am * We made an effort to keep things organized. Please help us to maintain the house as beautiful and clean as possible.  * Please ask before bringing visitors, and sorry I can only allow the number of guest on the reservation to stay overnight.  * I also ask that shoes not be worn in the house to keep the wood floors clean, and that you only eat in the dining room area.",
72301,40933178,,57714612038,verified,Timothy,Brooklyn,Williamsburg,40.7076,-73.94072,United States,US,False,strict,Entire home/apt,2008.0,$308 ,$62 ,1.0,3.0,10/24/2015,0.07,4.0,1.0,0.0,,
25998,15360031,IN MINT CONDITION-STUDIOS EAST 44TH/UNITED NATIONS,76093113044,unconfirmed,Rated,Manhattan,Midtown,40.74978,-73.96977,United States,US,False,flexible,Entire home/apt,2015.0,$423 ,$85 ,30.0,0.0,,,5.0,33.0,365.0,NO Smoking,
72716,41162383,Private room in Washington Heights,97760077229,unconfirmed,Hugo,Manhattan,Washington Heights,40.83368,-73.94314,United States,US,False,flexible,Private room,2018.0,"$1,097 ",$219 ,4.0,0.0,,,1.0,1.0,0.0,,
72004,40769145,Private bedroom in Lower East Side,97478255658,unconfirmed,Brian,Manhattan,Lower East Side,40.72235,-73.98769,United States,US,True,strict,Private room,2006.0,"$1,185 ",$237 ,1.0,1.0,9/4/2015,0.02,3.0,1.0,0.0,,
74045,41896390,Sonder | Stock Exchange | Unique 1BR + Laundry,14365579606,verified,Sonder (NYC),Manhattan,Financial District,40.70731,-74.01021,United States,US,True,strict,Entire home/apt,2004.0,$351 ,$70 ,2.0,15.0,6/16/2019,3.75,3.0,327.0,261.0,,
32997,19225579,Giant Sunny Urban Jungle 1-BR In East Village,98509646368,verified,Casey,Manhattan,East Village,40.72455,-73.98418,United States,US,True,flexible,Entire home/apt,2016.0,$922 ,$184 ,1.0,12.0,5/5/2019,1.0,5.0,1.0,0.0,,
20248,12184306,Private Room in Beautiful Brooklyn Private House.,71771256475,unconfirmed,Johari,Brooklyn,Bedford-Stuyvesant,40.68128,-73.91196,United States,US,False,flexible,Private room,2021.0,$296 ,$59 ,60.0,13.0,5/1/2019,0.42,1.0,4.0,51.0,Check-in is after 3 PM Check-out is before 11 AM,
12083,7674777,"Sunny, Near Times Sq & Central Park",57707303332,verified,Zachary,Manhattan,Hell's Kitchen,40.76646,-73.9929,United States,US,False,strict,Entire home/apt,2007.0,$602 ,$120 ,1.0,0.0,,,1.0,2.0,-4.0,#NAME?,
24125,14325574,Artist Hostel III in Bedstuy Brooklyn,75486115365,unconfirmed,Brian,Brooklyn,Bedford-Stuyvesant,40.69625,-73.94857,United States,US,False,strict,Shared room,2007.0,$650 ,$130 ,2.0,1.0,8/19/2017,0.04,3.0,3.0,138.0,"- Peanut/Nut Free, Gluten Free house please for the safety of many people including the cleaning crew, myself, and others who wish to stay here in the future do not bring these items (i.e. peanut butter or peanuts) into the house - Please let me know if you plan to bring an animal as I do occassionally have a foster animal here, I'd want to make sure I wasn't fostering at that time, or make other arrangements. - No smoking in doors, it WILL set off the fire alarms in the building, which is loud and causes the entire building to have to evacuate and wait outside (and trust me, it is loud enough and annoying enough it WILL wake you from a dead sleep and you'll be rushing to get out and save your ears from the sound! Also there is a $100-$200 fee for smoking inside or for smoking infront of the building (or either building on each side). But, you are welcome to walk across or down the street a bit or around the block, etc to smoke - You may order movies or anything else On Demand, but ple",
53750,30687461,Private space in Brooklyn,34324361140,unconfirmed,Jerry,Brooklyn,Flatbush,40.64543,-73.96223,United States,US,False,strict,Private room,2022.0,$977 ,$195 ,2.0,198.0,2/15/2022,2.74,5.0,2.0,300.0,,
73998,41870431,Midtown 2BR w/ Patio! Central Park & Times Sq!,24587625022,unconfirmed,Jhonnil,Manhattan,Hell's Kitchen,40.76242,-73.9925,United States,US,True,moderate,Entire home/apt,2008.0,$121 ,$24 ,2.0,7.0,6/21/2019,1.47,2.0,1.0,155.0,,
54540,31123778,"3 people, center of the city",47418333626,unconfirmed,Julia,Manhattan,Midtown,40.74782,-73.98698,United States,US,False,flexible,Entire home/apt,2008.0,$830 ,$166 ,1.0,2.0,2/13/2022,0.34,2.0,9.0,322.0,,
3917,3164695,"Cozy BR in Hamilton Heights, Harlem",33162170463,verified,Sarah,Manhattan,Harlem,40.82301,-73.94907,United States,US,True,flexible,Private room,2020.0,$681 ,$136 ,2.0,2.0,10/12/2015,0.04,1.0,1.0,356.0,,
90988,51254008,Brooklyn less than 30 min from manhattan (subway),90523193444,verified,Carl,Brooklyn,Crown Heights,40.67219,-73.92168,United States,US,False,flexible,Entire home/apt,2021.0,$395 ,$79 ,3.0,72.0,6/9/2019,2.48,1.0,,19.0,,
89130,50227835,1 Bedroom (Full) Mins From JFK and Casino,84875205502,verified,Iwona,Queens,Jamaica,40.67603,-73.78217,United States,US,False,moderate,Private room,2008.0,$753 ,$151 ,1.0,29.0,1/9/2019,0.9,1.0,4.0,8.0,,
20992,12595218,"Full floor, Newly renovated, Brooklyn brownstone",11866376256,unconfirmed,Todd & Ashta,Brooklyn,Bedford-Stuyvesant,40.68519,-73.94176,United States,US,True,flexible,Entire home/apt,2009.0,"$1,143 ",$229 ,2.0,111.0,6/24/2019,3.67,1.0,1.0,255.0,Parties and smoking are not allowed under any circumstances and incur significant fees. Pets may be considered with pre-approval and an additional pet fee.,
44456,25554385,NYC Manhattan Private Room,75399986457,unconfirmed,Claudio,Manhattan,Harlem,40.81548,-73.94556,United States,US,False,strict,Private room,2004.0,$942 ,$188 ,3.0,6.0,6/10/2019,2.86,2.0,3.0,247.0,"No smoking in the apartment, in the common hallway or outside the building. Respectful of our neighbors - no loud music.",
54910,31328129,2 Bedroom Brooklyn Apt Minutes from NYC Landmarks,32643037057,unconfirmed,Bashiri,Brooklyn,Bedford-Stuyvesant,40.68438,-73.95832,United States,US,True,flexible,Entire home/apt,2015.0,$409 ,$82 ,2.0,121.0,2/10/2022,2.49,5.0,1.0,294.0,,
102328,20330731,☆ Manhattan's Retreat - Blocks from Times Square!,46042736282,verified,Louis,Manhattan,Hell's Kitchen,40.75655,-73.99535,United States,US,True,strict,Private room,2020.0,$793 ,$159 ,1.0,44.0,7/4/2019,4.07,5.0,3.0,36.0,"We don't allow smoking, drug use, excessive parties, or loud music out of respect for our neighbors.  Please treat our home like your own! ",
38084,22035129,Midtown West - Cozy Double Double Room,61448585499,verified,Gabriel,Manhattan,Hell's Kitchen,40.75753,-73.99701,United States,US,False,flexible,Private room,2012.0,$303 ,$61 ,1.0,25.0,6/23/2019,3.21,5.0,30.0,324.0,,
21545,12900640,One bedroom apt right on Franklin Ave,95412315312,verified,Rebecca,Brooklyn,Crown Heights,40.66881,-73.95743,United States,US,True,strict,Entire home/apt,2019.0,$624 ,$125 ,50.0,8.0,1/2/2018,0.33,3.0,1.0,0.0,,
41929,24158723,Harlem Sweets 3,89162283422,verified,Terrence & Skye,Manhattan,Harlem,40.82899,-73.94185,United States,US,False,flexible,Private room,2021.0,$400 ,$80 ,2.0,4.0,6/3/2019,0.94,3.0,3.0,90.0,"No smoking, no parties, and no pets, please!",
85588,48271588,Bright & Spacious Studio Apartment,1828718130,verified,Matt,Brooklyn,Williamsburg,40.71121,-73.96698,United States,US,True,moderate,Entire home/apt,2004.0,$474 ,$95 ,3.0,5.0,1/2/2018,0.13,5.0,1.0,197.0,"No smoking. No pets. No drugs. No parties. Quiet hours after 9pm.  Tenants' belongings are not covered under our insurance. We recommend that you obtain renter's insurance as we are not responsible for your belongings. We care for this apartment as if it were our own home.  This is a family neighborhood and a quiet/respectful one.  This home was built prior to 1978 and according to MA Lead Law notification, we have to inform our renters that there is a possibility of lead paint.  Kindly do not eat the walls.  Check-in Time: 3:00 PM  Checkout Time: 11:00 AM  To ensure your safe deposit returned on time, please follow your checkout duties: - Wash and put away dishes OR start the dishwasher! - Double bag the trash and we will take it out! - We will strip the sheets and wash the towels! Thank you so much!",
